usia,pendapatan_per_bulan,berminat_beli
19,1.9,0
35,2.0,0
26,4.3,0
27,5.7,0
19,7.6,0
27,5.8,0
27,8.4,0
32,15.0,1
25,3.3,0
35,6.5,0
26,8.0,0
26,5.2,0
20,8.6,0
32,1.8,0
18,8.2,0
29,8.0,0
47,2.5,1
45,2.6,1
46,2.8,1
48,2.9,1
45,2.2,1
47,4.9,1
48,4.1,1
45,2.2,1
46,2.3,1
47,2.0,1
49,2.8,1
47,3.0,1
29,4.3,0
31,1.8,0
31,7.4,0
27,13.7,1
21,1.6,0
28,4.4,0
27,9.0,0
35,2.7,0
33,2.8,0
30,4.9,0
26,7.2,0
27,3.1,0
27,1.7,0
33,5.1,0
35,10.8,0
30,1.5,0
28,8.4,0
23,2.0,0
25,7.9,0
27,5.4,0
30,13.5,1
31,8.9,0
24,3.2,0
18,4.4,0
29,8.3,0
35,2.3,0
27,5.8,0
24,5.5,0
23,4.8,0
28,7.9,0
22,1.8,0
32,11.7,0
27,2.0,0
25,8.7,0
23,6.6,0
32,12.0,1
59,8.3,0
24,5.8,0
24,1.9,0
23,8.2,0
22,6.3,0
31,6.8,0
25,8.0,0
24,2.7,0
20,2.3,0
33,11.3,0
32,1.8,0
34,11.2,1
18,5.2,0
22,2.7,0
28,8.7,0
26,1.7,0
30,8.0,0
39,4.2,0
20,4.9,0
35,8.8,0
30,6.2,0
31,11.8,1
24,5.5,0
28,8.5,0
26,8.1,0
35,5.0,0
22,8.1,0
30,11.6,0
26,1.5,0
29,2.8,0
29,8.3,0
35,4.4,0
35,2.5,0
28,12.3,1
35,7.3,0
28,3.7,0
27,8.8,0
28,5.9,0
32,8.6,0
33,14.9,1
19,2.1,0
21,7.2,0
26,3.5,0
27,8.9,0
26,8.6,0
38,8.0,0
39,7.1,0
37,7.1,0
38,6.1,0
37,5.5,0
42,8.0,0
40,5.7,0
35,7.5,0
36,5.2,0
40,5.9,0
41,5.9,0
36,7.5,0
37,7.2,0
40,7.5,0
35,5.3,0
41,5.1,0
39,6.1,0
42,6.5,0
26,3.2,0
30,1.7,0
26,8.4,0
31,5.8,0
33,3.1,0
30,8.7,0
21,6.8,0
28,5.5,0
23,6.3,0
20,8.2,0
30,10.7,1
28,5.9,0
19,2.5,0
19,8.5,0
18,6.8,0
35,5.9,0
30,8.9,0
34,2.5,0
24,8.9,0
27,9.6,1
41,3.0,0
29,6.1,0
20,7.4,0
26,1.5,0
41,4.5,0
31,7.6,0
36,5.0,0
40,4.7,0
31,1.5,0
46,5.9,0
29,7.5,0
26,3.0,0
32,13.5,1
32,10.0,1
25,9.0,0
37,3.3,0
35,3.8,0
33,6.9,0
18,8.6,0
22,5.5,0
35,7.1,0
29,14.8,1
29,4.7,0
21,8.8,0
34,11.5,0
26,11.8,0
34,4.3,0
34,7.2,0
23,2.8,0
35,4.7,0
25,2.2,0
24,2.3,0
31,3.4,0
26,1.6,0
31,7.1,0
32,11.7,1
33,4.3,0
33,6.0,0
31,6.6,0
20,8.2,0
33,4.1,0
35,7.2,0
28,3.2,0
24,8.4,0
19,2.6,0
29,4.3,0
19,7.0,0
28,8.9,0
34,4.3,0
30,7.9,0
20,3.6,0
26,8.0,0
35,2.2,0
35,3.9,0
49,7.4,0
39,13.4,1
41,7.1,0
58,10.1,1
47,4.7,0
55,13.0,1
52,11.4,0
40,14.2,1
46,2.2,0
48,9.6,1
52,15.0,1
59,4.2,0
35,5.8,0
47,4.3,0
60,10.8,1
49,6.5,0
40,7.8,0
46,9.6,0
59,14.3,1
41,8.0,0
35,9.1,1
37,14.4,1
60,10.2,1
35,6.0,0
37,5.3,0
36,12.6,1
56,13.3,1
40,7.2,0
42,8.0,1
35,14.7,1
39,4.2,0
40,10.7,1
49,8.6,1
38,11.2,0
46,7.9,1
40,5.7,0
37,8.0,0
46,8.2,0
53,14.3,1
42,14.9,1
38,5.9,0
50,8.8,1
56,10.4,1
41,7.2,0
51,14.6,1
35,5.0,0
57,12.2,1
41,5.2,0
35,9.7,1
44,3.9,0
37,5.2,0
48,13.4,1
37,14.6,1
50,4.4,0
52,9.0,1
41,7.2,0
40,5.7,0
58,9.5,1
45,13.1,1
35,7.7,0
36,14.4,1
55,12.5,1
35,7.2,0
48,9.0,1
42,10.8,1
40,7.5,0
37,7.4,0
47,14.4,1
40,6.1,0
43,13.3,0
59,7.6,1
60,4.2,1
39,10.6,1
57,2.6,1
57,7.4,1
38,7.1,0
49,8.8,1
52,3.8,1
50,3.6,1
59,8.8,1
35,6.1,0
37,7.0,1
52,2.1,1
48,14.1,0
37,9.3,1
37,6.2,0
48,13.8,1
41,7.9,0
37,7.8,1
39,13.4,1
49,8.9,1
55,3.9,1
37,7.7,0
35,5.7,0
36,6.3,0
42,7.3,1
43,11.2,1
45,7.9,0
46,11.7,1
58,3.8,1
48,7.4,1
37,13.7,1
37,7.9,1
40,6.0,0
42,5.4,0
51,13.4,0
47,11.3,1
36,12.5,1
38,5.0,0
42,7.0,0
39,9.6,1
38,5.0,0
49,14.1,1
39,7.9,0
39,7.5,1
54,10.4,1
35,5.5,0
45,3.2,1
36,6.0,0
52,13.8,1
53,8.2,1
41,5.2,0
48,3.0,1
48,13.1,1
41,6.0,0
41,7.2,0
42,7.5,0
36,11.8,1
47,10.7,1
38,5.1,0
48,11.9,1
42,6.5,0
40,6.5,0
57,6.0,1
36,5.4,0
58,14.4,1
35,7.9,0
38,5.5,0
39,12.2,1
53,10.4,1
35,7.5,0
38,6.5,0
47,5.1,1
47,10.5,1
41,6.3,0
53,7.2,1
54,10.8,1
39,7.7,0
38,6.1,0
38,11.3,1
37,7.5,0
42,9.0,1
37,5.7,0
36,9.9,1
60,3.4,1
54,7.0,1
41,7.2,0
40,7.1,1
42,5.4,0
43,12.9,1
53,3.4,1
47,5.0,1
42,7.9,0
42,10.4,1
59,2.9,1
58,4.7,1
46,8.8,1
38,7.1,0
54,2.6,1
60,4.6,1
60,8.3,1
39,7.3,0
59,13.0,1
37,8.0,0
46,3.2,1
46,7.4,0
42,5.3,0
41,8.7,1
58,2.3,1
42,6.4,0
48,3.3,1
44,13.9,1
49,2.8,1
57,3.3,1
56,6.0,1
49,3.9,1
39,7.1,0
47,3.4,1
48,3.5,1
48,3.3,1
47,2.3,1
45,4.5,1
60,4.2,1
39,5.9,0
46,4.1,1
51,2.3,1
50,2.0,1
36,3.3,0
49,3.6,1
